SKU,min_price,max_price
32950,422.975,486.325
78833,295.83,324.4500000000001
10334,79.15039999999998,102.781
17812,61.06399999999999,78.19200000000002
36096,120.67200000000001,135.312
38767,62.9118,75.852
43678,116.5312,151.474
57561,77.9744,101.829
64619,142.8534,153.704
68211,147.7683,166.05599999999995
69997,111.86,142.401
72784,103.904,134.976
83329,75.0321,90.6
90611,73.2368,96.47399999999999
98255,65.639,68.593
11050,100.0,112.47399999999999
19632,154.826,159.852
24125,108.124,112.044
49661,158.208,165.97799999999995
54404,76.0,86.75200000000002
60870,109.182,117.064
80308,113.604,123.90100000000001
80631,85.929,92.47399999999999
84395,131.26,142.019
89272,116.26,127.726
